,Location,Year,Qtr,Current Holding,VWAP,yyyyqq
0,NSWQLD,2021,Q3,32,252.75,202103
1,NSWVIC,2021,Q3,61,979.46,202103
2,SAVIC,2021,Q3,22,5246.73,202103
3,VICNSW,2021,Q3,10,4500.0,202103
4,VICSA,2021,Q3,20,2058.75,202103
5,NSWQLD,2021,Q4,74,795.49,202104
6,NSWVIC,2021,Q4,102,1164.16,202104
7,SAVIC,2021,Q4,40,5223.92,202104
8,VICSA,2021,Q4,30,1994.84,202104
9,NSWVIC,2022,Q1,10,4356.0,202201
10,SAVIC,2022,Q1,40,5637.44,202201
11,VICSA,2022,Q1,24,6148.76,202201
12,NSWQLD,2022,Q2,30,337.03,202202
13,NSWVIC,2022,Q2,30,826.29,202202
14,SAVIC,2022,Q2,30,4022.22,202202
15,NSWVIC,2022,Q3,70,854.48,202203
16,SAVIC,2022,Q3,34,4834.21,202203
17,VICSA,2022,Q3,20,2024.75,202203
18,NSWQLD,2022,Q4,8,1254.0,202204
19,NSWVIC,2022,Q4,60,772.71,202204
20,SAVIC,2022,Q4,40,4988.63,202204
21,VICSA,2022,Q4,10,2450.0,202204
22,NSWVIC,2023,Q1,10,4320.0,202301
23,SAVIC,2023,Q1,50,5665.24,202301
24,VICSA,2023,Q1,20,6816.0,202301
25,NSWQLD,2023,Q2,8,404.0,202302
26,NSWVIC,2023,Q2,30,514.46,202302
27,SAVIC,2023,Q2,30,3416.0,202302
28,VICSA,2023,Q2,12,1743.17,202302
29,NSWQLD,2023,Q3,10,257.0,202303
30,NSWVIC,2023,Q3,90,637.55,202303
31,SAVIC,2023,Q3,45,4022.38,202303
32,VICSA,2023,Q3,20,1667.94,202303
33,NSWQLD,2023,Q4,10,1501.0,202304
34,NSWVIC,2023,Q4,60,725.17,202304
35,SAVIC,2023,Q4,34,4084.0,202304
36,VICSA,2023,Q4,20,1840.35,202304
37,NSWVIC,2024,Q1,10,4368.0,202401
38,SAVIC,2024,Q1,25,5154.0,202401
39,VICSA,2024,Q1,10,6115.2,202401
